ortho	phon	lemme	cgram	genre	nombre	
détérioration	deteRjoRasj§	détérioration	NOM	f	s	
détériorations	deteRjoRasj§	détérioration	NOM	f	p	
déterminant	detERmin@	déterminant	NOM	m	s	
déterminants	detERmin@	déterminant	NOM	m	p	
détermination	detERminasj§	détermination	NOM	f	s	
déterminations	detERminasj§	détermination	NOM	f	p	
déterminisme	detERminizm	déterminisme	NOM	m	s	
déterministe	detERminist	déterministe	NOM		s	
déterrage	detERaZ	déterrage	NOM	m	s	
déterré	deteRe	déterré	NOM	m	s	
déterrée	deteRe	déterré	NOM	f	s	
déterrés	deteRe	déterré	NOM	m	p	
déterreur	detER9R	déterreur	NOM	m	s	
déterreurs	detER9R	déterreur	NOM	m	p	
déterreuse	detER2z	déterreur	NOM	f	s	
détestation	detEstasj§	détestation	NOM	f	s	
détestations	detEstasj§	détestation	NOM	f	p	
détonateur	detonat9R	détonateur	NOM	m	s	
détonateurs	detonat9R	détonateur	NOM	m	p	
détonation	detonasj§	détonation	NOM	f	s	
détonations	detonasj§	détonation	NOM	f	p	
détour	detuR	détour	NOM	m	s	
détourage	detuRaZ	détourage	NOM	m	s	
détournement	detuRn°m@	détournement	NOM	m	s	
détournements	detuRn°m@	détournement	NOM	m	p	
détourneur	detuRn9R	détourneur	NOM	m	s	
détours	detuR	détour	NOM	m	p	
détracteur	detRakt9R	détracteur	NOM	m	s	
détracteurs	detRakt9R	détracteur	NOM	m	p	
détraqué	detRake	détraqué	NOM	m	s	
détraquée	detRake	détraqué	NOM	f	s	
détraquées	detRake	détraqué	NOM	f	p	
détraquement	detRak°m@	détraquement	NOM	m	s	
détraqués	detRake	détraqué	NOM	m	p	
détrempe	detR@p	détrempe	NOM	f	s	
détresse	detREs	détresse	NOM	f	s	
détresses	detREs	détresse	NOM	f	p	
